name,categories,city,province,country,latitude,longitude,postalCode,address
Arby's,Fast Food Restaurants,Clarksville,TN,US,36.594351,-87.287425,37040,3067 Wilma Rudolph Blvd
Dairy Queen,Fast Food Restaurants,Alliance,OH,US,40.90199,-81.12966,44601,1635 W State St
CASA Mexicana,Fast Food Restaurants,Bryant,AR,US,34.623,-92.50348,72022,5311 Highway 5 N Ste 240
Burger King,Fast Food Restaurant,Bryant,AR,US,34.623419,-92.499052,72022,3001 N Reynolds Rd
Burger King,Fast Food Restaurants,Flagstaff,AZ,US,35.192109,-111.624197,86004,2275 E Butler Ave
Arby's,Fast Food Restaurants,Brookings,SD,US,44.31095,-96.77414,57006,1818 6th St
KFC,Fast Food,Apache Junction,AZ,US,33.41508,-111.57884,85120,3051 W Apache Trl
Burger King,Fast Food Restaurants,Bluefield,WV,US,37.28415,-81.25128,24701,Route 52 Airport Square
Bob Evans,Fast Food Restaurants,Beckley,WV,US,37.793559,-81.217557,25801,102 Harper Park Dr
Pizza Hut,Fast Food Restaurants,Beckley,WV,US,37.790326,-81.210547,25801,1912 Harper Rd
Players Grill,Fast Food Restaurants,Highland Park,IL,US,42.17114472,-87.82489848,60035,1855 Deerfield Rd
Burger King,Fast Food Restaurants,Buckhannon,WV,US,38.997749,-80.233242,26201,3 Clarksburg Rd
Arby's,Fast Food,Cody,WY,US,44.51606,-109.08971,82414,302 Yellowstone Ave
Burger King,Fast Food Restaurant,Cody,WY,US,44.51459,-109.05084,82414,1902 Mountain View Dr
Pizza Hut,Fast Food Restaurants,Cheyenne,WY,US,41.16767,-104.828636,82009,5320 Yellowstone Rd
Back Yard Burgers,Fast Food Restaurants,Collierville,TN,US,35.0492,-89.69907,38017,1100 Poplar View Ln N
Arby's,Fast Food Restaurants,Collierville,TN,US,35.04561,-89.6942,38017,967 W Poplar Ave
Arby's,Fast Food Restaurants,Casper,WY,US,42.82804,-106.354802,82604,2607 Cy Ave
Arby's,Fast Food Restaurants,Cordova,TN,US,35.175914,-89.792333,38016,1860 N Germantown Pkwy
SUBWAY,Fast Food Restaurants,Mobridge,SD,US,45.53751,-100.43688,57601,310 W Grand Xing
Arby's,Fast Food,Defiance,OH,US,41.303027,-84.361279,43512,1502 N Clinton St
Pizza Hut,Fast Food Restaurants,Defiance,OH,US,41.301426,-84.360818,43512,1133 N Clinton St
Pizza Hut,Fast Food Restaurants,Fairborn,OH,US,39.783394,-84.006478,45324,11 W Dayton Yellow Springs Rd
Arby's,Fast Food,Aberdeen,SD,US,45.459587,-98.469823,57401,1205 6th Ave Se
McDonald's,Fast Food Restaurant,Blountville,TN,US,36.524041,-82.312707,37617,2260 Highway 394
McDonald's,Fast food restaurants,Blountville,TN,US,36.534114,-82.390053,37617,214 Carolina Pottery Dr
Arby's,Fast Food Restaurant,Blountville,TN,US,36.541865,-82.33235,37617,1313 Highway 394
Burger King,Fast Food Restaurants,Berea,KY,US,37.568606,-84.311046,40403,100 Prince Royal Dr
Italo's Pizza,Fast Food Restaurants,East Liverpool,OH,US,40.66428,-80.62041,43920,16311 State Route 267
Dairy Queen,Ice Cream Shop and Fast Food Restaurant,East Liverpool,OH,US,40.62539,-80.59109,43920,900 W 8th St
Hunan Gardens,Fast Food Restaurants,Lima,OH,US,40.73101,-84.07296,45804,723 Saratoga Ave
Burger King,Fast Food Restaurant,Circleville,OH,US,39.58426871,-82.95390414,43113,23777 Us Route 23
Burger King,Fast food restaurants,Chardon,OH,US,41.580901,-81.210168,44024,414 Water St
Burger King,Fast Food Restaurant,Bellefontaine,OH,US,40.331939,-83.761451,43311,2005 S Main St
Burger King,Fast Food Restaurants,Broadview Heights,OH,US,41.29553,-81.67674,44147,2000 E Edgerton Rd
Burger King,Fast Food Restaurant,Broadview Heights,OH,US,41.293022,-81.68467,44147,10037 Broadview Rd
Toppers Pizza,Fast Food Restaurants,Chippewa Falls,WI,US,44.92456,-91.38189,54729,475 Chippewa Mall Dr
Hernandez Mexican Restaurant,Fast Food Restaurants,Delavan,WI,US,42.63089,-88.63918,53115,212 S 7th St
Culver's,Fast Food Restaurant,Delavan,WI,US,42.627712,-88.621712,53115,1931 E Geneva St
Burger King,Fast food restaurants,Christiansburg,VA,US,37.16537,-80.422283,24073,2680 Market St
Arby's,Fast Food Restaurant,Christiansburg,VA,US,37.166086,-80.422225,24073,2650 Market St
Burger King,Fast food restaurants,Farmville,VA,US,37.289041,-78.397491,23901,1004 S Main St
Glorious Foods Gourmet to go & Catering,Fast Food Restaurants,Charlottesville,VA,US,38.04129,-78.47775,22903,1709 Allied Ln
Little Caesars Pizza,Fast Food Restaurants,Gresham,OR,US,45.50516,-122.41273,97030,1835 Ne Division St
Arby's,Fast Food Restaurants,El Paso,TX,US,31.88498,-106.418612,79924,9575 Dyer St
Pizza Hut,Fast Food Restaurants,Wharton,TX,US,29.33102,-96.09457,77488,2202 N Richmond Rd
Burger King,Fast Food Restaurants,Denison,TX,US,33.762134,-96.581587,75020,3120 W Fm 120
McDonald's,Fast Food Restaurants,Penitas,TX,US,26.243395,-98.4423,78576,1705 Expressway 83
Burger King,Fast Food Restaurant,Eagle Pass,TX,US,28.70574,-100.48395,78852,2280 E Garrison St
Chick-Fil-A,Fast Food Restaurants,Del Rio,TX,US,29.38843,-100.90521,78840,2207 Veterans Blvd
Burger King,Fast Food Restaurant,Bryan,TX,US,30.69488984,-96.36236943,77803,2208 Highway 21 E
Schlotzsky's,Fast Food Restaurants,Cleburne,TX,US,32.342149,-97.402765,76033,1216 W Henderson St
Arby's,"Restaurant, Fast Food Restaurant, and Sandwich Place",Burleson,TX,US,32.563248,-97.322393,76028,801 Ne Alsbury Blvd
Chick-Fil-A,Fast Food Restaurant,Burleson,TX,US,32.566362,-97.319315,76028,1105 N Burleson Blvd
Burger King,Fast Food Restaurant and Burger Joint,Bellaire,TX,US,29.70529415,-95.4730184,77401,5301 Bellaire Blvd
Arby's,Fast Food Restaurant,Abilene,TX,US,32.405234,-99.764985,79606,3824 S Clack St
Golden Chick,American Restaurant and Fast Food Restaurant,Beeville,TX,US,28.421414,-97.756843,78102,2305 N Saint Marys St
Dairy Queen,Fast Food Restaurants,Pettus,TX,US,28.847141,-97.44154,78146,90571 Main St
Pizza Hut,Fast Food Restaurants,Sinton,TX,US,28.03704,-97.51219,78387,210 W Sinton St
Chicken Express,Fast Food Restaurants,Angleton,TX,US,29.18105,-95.44666,77515,96 Cannan Dr
McDonald's,Fast Food Restaurant and Playground,Flourtown,PA,US,40.111177,-75.214144,19031,1890 Bethlehem Pike
Arby's,Fast Food,Chestertown,MD,US,39.224652,-76.06993,21620,707 Washington Ave
Big House Burgers,Fast food restaurants,Alice,TX,US,27.75366,-98.06131,78332,1201 E Main St
Arby's,Fast Food,Orlando,FL,US,28.44004,-81.4037,32809,8586 S Orange Blossom Trl
McDonald's,Fast food restaurants,Columbia,MD,US,39.196116,-76.82101,21045,6385 Dobbin Rd
Burger King,Fast Food Restaurant,Elkridge,MD,US,39.208926,-76.724769,21075,6241 Washington Blvd
Arby's,Fast Food,Fairless Hills,PA,US,40.169035,-74.849233,19030,505 S Oxford Valley Rd
Arby's,Fast Food Restaurants,Ephrata,PA,US,40.164651,-76.154297,17522,888 E Main St
Pizza Hut,Fast Food Restaurants,Ottumwa,IA,US,41.01903,-92.43745,52501,1247 Theatre Dr
Arby's,Fast Food,Abingdon,VA,US,36.705143,-81.974501,24210,470 Cummings St
Jerry's Subs & Pizza,"Sandwich Place, Pizza Place, and Fast Food Restaurant",Alexandria,VA,US,38.78022,-77.07939,22306,6308 Richmond Hwy
Fox's Pizza Den,Fast Food Restaurants,Ebensburg,PA,US,40.48025,-78.73658,15931,1104 W High St
Burger King,Fast Food Restaurants,Ebensburg,PA,US,40.47425,-78.74575,15931,285 Jamesway Rd
Arby's,Fast Food Restaurant,Erie,PA,US,42.092031,-80.084087,16509,4105 Peach St
Arby's,"American Restaurant, Fast Food Restaurant, and Sandwich Place",Erie,PA,US,42.108355,-80.050799,16504,3720 Pine Ave
Burger King,Fast Food Restaurant,Florence,KY,US,39.019712,-84.628729,41042,4868 Houston Rd
Burger King,Fast Food Restaurant and Burger Joint,Coopersburg,PA,US,40.509286,-75.385827,18036,105 S 3rd St
Pizza Pub,Fast Food Restaurants,Clarion,PA,US,41.20821,-79.36712,16214,1306 E Main St
Grande Italian Restaurant,Fast Food Restaurants,Canonsburg,PA,US,40.26269,-80.13373,15317,4205 Washington Rd
Pizza Hut,Fast Food Restaurants,Canonsburg,PA,US,40.28079,-80.08363,15317,453 Valley Brook Rd Ste 200
Burger King,Fast Food Restaurants,Berwick,PA,US,41.049741,-76.252443,18603,1208 W Front St
Pizza Hut,Fast Food Restaurants,Bethel Park,PA,US,40.34341,-80.02729,15102,4960 Library Rd
Burger King,Fast Food Restaurant,Frankfort,KY,US,38.178962,-84.894596,40601,9 Hudson Hollow Rd
Pizza Hut,Fast Food,Seattle,WA,US,47.69445,-122.34243,98103,1110 N 90th St
Arni's Crawfordsville,Fast Food,Crawfordsville,IN,US,40.0396,-86.9026,47933,114 W Wabash Ave
Arby's,"Fast Food Restaurant, American Restaurant, and Sandwich Place",Crawfordsville,IN,US,40.021575,-86.903344,47933,1518 S Washington St
Pizza Hut,Fast Food Restaurants,Milwaukee,WI,US,42.97331,-88.00821,53220,3921 S 76th St
Arctic Circle,Fast Food Restaurants,Layton,UT,US,41.07553,-111.95069,84041,1075 N Fairfield Rd
Pizza Hut,Fast Food Restaurants,Goshen,IN,US,41.591667,-85.855147,46526,1607 Elkhart Rd
Arby's,Fast Food Restaurants,Gaffney,SC,US,35.077732,-81.703527,29341,909 Hyatt St
Burger King,Fast Food Restaurants,Elko,NV,US,40.83757,-115.78954,89801,2460 Mountain City Hwy
Pizza Barn,Fast Food Restaurants,Elko,NV,US,40.85103,-115.74498,89801,2598 Idaho St
McDonald's,Fast food restaurants,Coram,NY,US,40.869655,-72.999817,11727,313 Middle Country Rd
Jerry's Subs & Pizza,Fast Food Restaurants,Laurel,MD,US,39.095464,-76.837806,20707,9711 Fort Meade Rd
Burger King,Fast Food Restaurant,Brookhaven,MS,US,31.579563,-90.459029,39601,778 Brookway Blvd
Rico's Pizza & Subs,Fast Food Restaurants,Corning,NY,US,42.1439,-77.0583,14830,92 W Market St
B's Pizza,Fast Food Restaurants,Corning,NY,US,42.13151,-77.03608,14830,2 Wicks Blvd
Burger King,Fast food restaurants,Amityville,NY,US,40.689896,-73.408119,11701,1104 Sunrise Hwy
McDonald's,Fast Food Restaurant,Pickens,SC,US,34.884512,-82.70476,29671,425 E Main St
McDonald's,Fast Food,Spartanburg,SC,US,34.966901,-81.929552,29303,106 Garner Rd
Burger King,Fast Food Restaurant and Burger Joint,Gambrills,MD,US,39.037925,-76.678372,21054,2619 Brandermill Blvd
McDonald's,Fast Food Restaurant,Red Springs,NC,US,34.811406,-79.174756,28377,613 E 4th Ave
Domino's Pizza,Fast Food Restaurants,Glen Cove,NY,US,40.8672,-73.6307,11542,104 School St
Dairy Queen,Ice Cream Shop and Fast Food Restaurant,Van,TX,US,32.499851,-95.596225,75790,2789 Interstate Highway 20
Dairy Queen,Fast Food Restaurants,Tivoli,TX,US,28.453429,-96.888108,77990,111 State Highway 239 E
Dairy Queen,Fast Food,Rusk,TX,US,31.802884,-95.148673,75785,1301 N Dickinson Dr
Dairy Queen,Fast Food Restaurants,Borger,TX,US,35.663865,-101.389964,79007,300 S Main St
Dairy Queen,Fast Food Restaurant,San Marcos,TX,US,29.689434,-97.667085,78666,900 Highway 80
